,Date,Age,Sex,cases_new
0,2020-06-30,0-9,m,1154
1,2020-06-30,0-9,f,1035
2,2020-06-30,10-19,m,1954
3,2020-06-30,10-19,f,1949
4,2020-06-30,20-29,m,6204
5,2020-06-30,20-29,f,7797
6,2020-06-30,30-39,m,8586
7,2020-06-30,30-39,f,10508
8,2020-06-30,40-49,m,13197
9,2020-06-30,40-49,f,18231
10,2020-06-30,50-59,m,19867
11,2020-06-30,50-59,f,23172
12,2020-06-30,60-69,m,19069
13,2020-06-30,60-69,f,12987
14,2020-06-30,70-79,m,19489
15,2020-06-30,70-79,f,14640
16,2020-06-30,80-89,m,16777
17,2020-06-30,80-89,f,24702
18,2020-06-30,>90,m,3860
19,2020-06-30,>90,f,15219
0,2020-06-23,0-9,m,1135
1,2020-06-23,0-9,f,1021
2,2020-06-23,10-19,m,1937
3,2020-06-23,10-19,f,1908
4,2020-06-23,20-29,m,6117
5,2020-06-23,20-29,f,7734
6,2020-06-23,30-39,m,8520
7,2020-06-23,30-39,f,10441
8,2020-06-23,40-49,m,13127
9,2020-06-23,40-49,f,18188
10,2020-06-23,50-59,m,19800
11,2020-06-23,50-59,f,23124
12,2020-06-23,60-69,m,19019
13,2020-06-23,60-69,f,12952
14,2020-06-23,70-79,m,19472
15,2020-06-23,70-79,f,14628
16,2020-06-23,80-89,m,16763
17,2020-06-23,80-89,f,24670
18,2020-06-23,>90,m,3869
19,2020-06-23,>90,f,15220
0,2020-06-16,0-9,m,1103
1,2020-06-16,0-9,f,995
2,2020-06-16,10-19,m,1879
3,2020-06-16,10-19,f,1865
4,2020-06-16,20-29,m,6017
5,2020-06-16,20-29,f,7648
6,2020-06-16,30-39,m,8399
7,2020-06-16,30-39,f,10350
8,2020-06-16,40-49,m,12993
9,2020-06-16,40-49,f,18062
10,2020-06-16,50-59,m,19728
11,2020-06-16,50-59,f,22972
12,2020-06-16,60-69,m,18927
13,2020-06-16,60-69,f,12849
14,2020-06-16,70-79,m,19374
15,2020-06-16,70-79,f,14541
16,2020-06-16,80-89,m,16714
17,2020-06-16,80-89,f,24575
18,2020-06-16,>90,m,3859
19,2020-06-16,>90,f,15160
0,2020-06-09,0-9,m,1066
1,2020-06-09,0-9,f,958
2,2020-06-09,10-19,m,1837
3,2020-06-09,10-19,f,1814
4,2020-06-09,20-29,m,5901
5,2020-06-09,20-29,f,7517
6,2020-06-09,30-39,m,8290
7,2020-06-09,30-39,f,10199
8,2020-06-09,40-49,m,12836
9,2020-06-09,40-49,f,17873
10,2020-06-09,50-59,m,19567
11,2020-06-09,50-59,f,22754
12,2020-06-09,60-69,m,18782
13,2020-06-09,60-69,f,12696
14,2020-06-09,70-79,m,19272
15,2020-06-09,70-79,f,14399
16,2020-06-09,80-89,m,16638
17,2020-06-09,80-89,f,24437
18,2020-06-09,>90,m,3850
19,2020-06-09,>90,f,15064
0,2020-06-03,0-9,m,1047
1,2020-06-03,0-9,f,938
2,2020-06-03,10-19,m,1799
3,2020-06-03,10-19,f,1771
4,2020-06-03,20-29,m,5826
5,2020-06-03,20-29,f,7416
6,2020-06-03,30-39,m,8187
7,2020-06-03,30-39,f,10094
8,2020-06-03,40-49,m,12722
9,2020-06-03,40-49,f,17720
10,2020-06-03,50-59,m,19454
11,2020-06-03,50-59,f,22580
12,2020-06-03,60-69,m,18694
13,2020-06-03,60-69,f,12591
14,2020-06-03,70-79,m,19184
15,2020-06-03,70-79,f,14289
16,2020-06-03,80-89,m,16590
17,2020-06-03,80-89,f,24303
18,2020-06-03,>90,m,3846
19,2020-06-03,>90,f,14990
0,2020-05-26,0-9,m,1015
1,2020-05-26,0-9,f,903
2,2020-05-26,10-19,m,1724
3,2020-05-26,10-19,f,1718
4,2020-05-26,20-29,m,5685
5,2020-05-26,20-29,f,7240
6,2020-05-26,30-39,m,8026
7,2020-05-26,30-39,f,9902
8,2020-05-26,40-49,m,12513
9,2020-05-26,40-49,f,17427
10,2020-05-26,50-59,m,19210
11,2020-05-26,50-59,f,22221
12,2020-05-26,60-69,m,18494
13,2020-05-26,60-69,f,12385
14,2020-05-26,70-79,m,19033
15,2020-05-26,70-79,f,14107
16,2020-05-26,80-89,m,16497
17,2020-05-26,80-89,f,24027
18,2020-05-26,>90,m,3818
19,2020-05-26,>90,f,14783
0,2020-05-20,0-9,m,981
1,2020-05-20,0-9,f,867
2,2020-05-20,10-19,m,1654
3,2020-05-20,10-19,f,1658
4,2020-05-20,20-29,m,5521
5,2020-05-20,20-29,f,7070
6,2020-05-20,30-39,m,7868
7,2020-05-20,30-39,f,9654
8,2020-05-20,40-49,m,12312
9,2020-05-20,40-49,f,17076
10,2020-05-20,50-59,m,18963
11,2020-05-20,50-59,f,21836
12,2020-05-20,60-69,m,18290
13,2020-05-20,60-69,f,12175
14,2020-05-20,70-79,m,18883
15,2020-05-20,70-79,f,13940
16,2020-05-20,80-89,m,16357
17,2020-05-20,80-89,f,23715
18,2020-05-20,>90,m,3786
19,2020-05-20,>90,f,14513
0,2020-05-14,0-9,m,942
1,2020-05-14,0-9,f,826
2,2020-05-14,10-19,m,1570
3,2020-05-14,10-19,f,1577
4,2020-05-14,20-29,m,5272
5,2020-05-14,20-29,f,6820
6,2020-05-14,30-39,m,7609
7,2020-05-14,30-39,f,9352
8,2020-05-14,40-49,m,12006
9,2020-05-14,40-49,f,16602
10,2020-05-14,50-59,m,18589
11,2020-05-14,50-59,f,21200
12,2020-05-14,60-69,m,18060
13,2020-05-14,60-69,f,11929
14,2020-05-14,70-79,m,18683
15,2020-05-14,70-79,f,13649
16,2020-05-14,80-89,m,16135
17,2020-05-14,80-89,f,23176
18,2020-05-14,>90,m,3741
19,2020-05-14,>90,f,14106
0,2020-05-07,0-9,m,871
1,2020-05-07,0-9,f,759
2,2020-05-07,10-19,m,1454
3,2020-05-07,10-19,f,1449
4,2020-05-07,20-29,m,4961
5,2020-05-07,20-29,f,6426
6,2020-05-07,30-39,m,7271
7,2020-05-07,30-39,f,8862
8,2020-05-07,40-49,m,11590
9,2020-05-07,40-49,f,15908
10,2020-05-07,50-59,m,18047
11,2020-05-07,50-59,f,20297
12,2020-05-07,60-69,m,17678
13,2020-05-07,60-69,f,11529
14,2020-05-07,70-79,m,18355
15,2020-05-07,70-79,f,13231
16,2020-05-07,80-89,m,15784
17,2020-05-07,80-89,f,22206
18,2020-05-07,>90,m,3632
19,2020-05-07,>90,f,13334
0,2020-04-28,0-9,m,784
1,2020-04-28,0-9,f,682
2,2020-04-28,10-19,m,1250
3,2020-04-28,10-19,f,1254
4,2020-04-28,20-29,m,4476
5,2020-04-28,20-29,f,5828
6,2020-04-28,30-39,m,6712
7,2020-04-28,30-39,f,8141
8,2020-04-28,40-49,m,10882
9,2020-04-28,40-49,f,14692
10,2020-04-28,50-59,m,17077
11,2020-04-28,50-59,f,18840
12,2020-04-28,60-69,m,16991
13,2020-04-28,60-69,f,10838
14,2020-04-28,70-79,m,17652
15,2020-04-28,70-79,f,12468
16,2020-04-28,80-89,m,14943
17,2020-04-28,80-89,f,20271
18,2020-04-28,>90,m,3371
19,2020-04-28,>90,f,11803
0,2020-04-23,0-9,m,687
1,2020-04-23,0-9,f,607
2,2020-04-23,10-19,m,1070
3,2020-04-23,10-19,f,1070
4,2020-04-23,20-29,m,3877
5,2020-04-23,20-29,f,5024
6,2020-04-23,30-39,m,5951
7,2020-04-23,30-39,f,7136
8,2020-04-23,40-49,m,9849
9,2020-04-23,40-49,f,12851
10,2020-04-23,50-59,m,15772
11,2020-04-23,50-59,f,16685
12,2020-04-23,60-69,m,15825
13,2020-04-23,60-69,f,9825
14,2020-04-23,70-79,m,16410
15,2020-04-23,70-79,f,11163
16,2020-04-23,80-89,m,13446
17,2020-04-23,80-89,f,17034
18,2020-04-23,>90,m,2888
19,2020-04-23,>90,f,9429
0,2020-04-16,0-9,m,596
1,2020-04-16,0-9,f,519
2,2020-04-16,10-19,m,901
3,2020-04-16,10-19,f,897
4,2020-04-16,20-29,m,3350
5,2020-04-16,20-29,f,4338
6,2020-04-16,30-39,m,5344
7,2020-04-16,30-39,f,6299
8,2020-04-16,40-49,m,9009
9,2020-04-16,40-49,f,11452
10,2020-04-16,50-59,m,14779
11,2020-04-16,50-59,f,15015
12,2020-04-16,60-69,m,14963
13,2020-04-16,60-69,f,9024
14,2020-04-16,70-79,m,15577
15,2020-04-16,70-79,f,10097
16,2020-04-16,80-89,m,12332
17,2020-04-16,80-89,f,14329
18,2020-04-16,>90,m,2470
19,2020-04-16,>90,f,7333
0,2020-04-09,0-9,m,509
1,2020-04-09,0-9,f,425
2,2020-04-09,10-19,m,717
3,2020-04-09,10-19,f,712
4,2020-04-09,20-29,m,2752
5,2020-04-09,20-29,f,3576
6,2020-04-09,30-39,m,4612
7,2020-04-09,30-39,f,5316
8,2020-04-09,40-49,m,8021
9,2020-04-09,40-49,f,9676
10,2020-04-09,50-59,m,13469
11,2020-04-09,50-59,f,12864
12,2020-04-09,60-69,m,13784
13,2020-04-09,60-69,f,7908
14,2020-04-09,70-79,m,14234
15,2020-04-09,70-79,f,8666
16,2020-04-09,80-89,m,10661
17,2020-04-09,80-89,f,10935
18,2020-04-09,>90,m,1894
19,2020-04-09,>90,f,4941
0,2020-04-02,0-9,m,381
1,2020-04-02,0-9,f,307
2,2020-04-02,10-19,m,475
3,2020-04-02,10-19,f,454
4,2020-04-02,20-29,m,1919
5,2020-04-02,20-29,f,2531
6,2020-04-02,30-39,m,3505
7,2020-04-02,30-39,f,3885
8,2020-04-02,40-49,m,6480
9,2020-04-02,40-49,f,7130
10,2020-04-02,50-59,m,11149
11,2020-04-02,50-59,f,9706
12,2020-04-02,60-69,m,11761
13,2020-04-02,60-69,f,6254
14,2020-04-02,70-79,m,12281
15,2020-04-02,70-79,f,6868
16,2020-04-02,80-89,m,8553
17,2020-04-02,80-89,f,7644
18,2020-04-02,>90,m,1374
19,2020-04-02,>90,f,2973
0,2020-03-30,0-9,m,324
1,2020-03-30,0-9,f,260
2,2020-03-30,10-19,m,392
3,2020-03-30,10-19,f,371
4,2020-03-30,20-29,m,1631
5,2020-03-30,20-29,f,213
6,2020-03-30,30-39,m,3105
7,2020-03-30,30-39,f,335
8,2020-03-30,40-49,m,5802
9,2020-03-30,40-49,f,619
10,2020-03-30,50-59,m,10068
11,2020-03-30,50-59,f,849
12,2020-03-30,60-69,m,10744
13,2020-03-30,60-69,f,558
14,2020-03-30,70-79,m,11236
15,2020-03-30,70-79,f,614
16,2020-03-30,80-89,m,7630
17,2020-03-30,80-89,f,650
18,2020-03-30,>90,m,1160
19,2020-03-30,>90,f,240
